iter	Logloss
0	0.6919833273
1	0.6908495432
2	0.6897438761
3	0.6887143817
4	0.6877404945
5	0.6868033205
6	0.6859935685
7	0.6851806527
8	0.6843826609
9	0.6836835264
10	0.6830372531
11	0.682346685
12	0.6816054347
13	0.6809313428
14	0.6802759658
15	0.6796488848
16	0.6790580694
17	0.6784819991
18	0.6778933328
19	0.677421761
20	0.6769424585
21	0.6765344335
22	0.6760754875
23	0.6755605165
24	0.6750403816
25	0.6746550712
26	0.674124579
27	0.6737474171
28	0.6734246983
29	0.6730283141
30	0.6726515402
31	0.6722399335
32	0.6718751884
33	0.6715524995
34	0.6712252139
35	0.6708837206
36	0.6705516593
37	0.6702576843
38	0.6699762755
39	0.6697292517
40	0.6694160545
41	0.6692271154
42	0.6689369609
43	0.6686292857
44	0.6683142975
45	0.6680704377
46	0.6678221305
47	0.6675709877
48	0.6673191882
49	0.6670731793
50	0.6667626386
51	0.666558059
52	0.6662263559
53	0.6660213883
54	0.6658653717
55	0.6656966696
56	0.6655067754
57	0.6652659899
58	0.6650924524
59	0.6648626511
60	0.6646959489
61	0.6644738185
62	0.6642823721
63	0.6640757927
64	0.6637602375
65	0.6635952366
66	0.6633993428
67	0.6632338942
68	0.663035732
69	0.6628155716
70	0.6626216777
71	0.6624862265
72	0.6622534702
73	0.6621159894
74	0.6619137977
75	0.6617899276
76	0.6616390449
77	0.6614687609
78	0.6612277964
79	0.6610175755
80	0.6607684026
81	0.6605857913
82	0.6603890917
83	0.6602232849
84	0.6599258774
85	0.6597571455
86	0.6596226196
87	0.6595230758
88	0.6593897737
89	0.6591687478
90	0.6590358337
91	0.6588337315
92	0.6586312115
93	0.6584576143
94	0.6582684364
95	0.6580855266
96	0.6579494785
97	0.6577401828
98	0.6575878674
99	0.6573957942
100	0.6572891466
101	0.6571852749
102	0.6569874708
103	0.6568533927
104	0.6567217919
105	0.6565547315
106	0.6563482416
107	0.6561469752
108	0.6558296589
109	0.6556826267
110	0.6555143126
111	0.6554173657
112	0.6551917431
113	0.6550482329
114	0.6548673229
115	0.6547487062
116	0.6545995845
117	0.6544055414
118	0.6542493755
119	0.654101806
120	0.6539363873
121	0.6538096816
122	0.6536091017
123	0.6534607263
124	0.6532499681
125	0.6530495971
126	0.6528418834
127	0.6527232965
128	0.6525976953
129	0.6524619755
130	0.652338971
131	0.6522277566
132	0.6521219746
133	0.6519500489
134	0.6518476696
135	0.6517209938
136	0.6516020785
137	0.6514479126
138	0.6513098945
139	0.6511951281
140	0.6509619241
141	0.6508293682
142	0.6506087601
143	0.6504971278
144	0.6503887788
145	0.650218853
146	0.6500587174
147	0.6498932688
148	0.6497617277
149	0.6496027562
150	0.6495211214
151	0.649424652
152	0.6493131391
153	0.6492054169
154	0.6490416696
155	0.6489247841
156	0.6487615741
157	0.6485610837
158	0.6485033573
159	0.6483773083
160	0.6482334399
161	0.6481183751
162	0.6479701489
163	0.6478147592
164	0.6477299604
165	0.6475849578
166	0.6474748478
167	0.647365096
168	0.6472148102
169	0.647102193
170	0.6469243574
171	0.6468152622
172	0.6466691851
173	0.6465105717
174	0.6464365183
175	0.6463542865
176	0.6462225067
177	0.6460938311
178	0.6458977283
179	0.64574992
180	0.6454854351
181	0.645353715
182	0.6452130702
183	0.6451013484
184	0.6449560175
185	0.6447739136
186	0.6446445216
187	0.6444959671
188	0.6443090278
189	0.64419847
190	0.6440984487
191	0.6439335374
192	0.6437666859
193	0.6436917669
194	0.6435572112
195	0.6434640251
196	0.6433333795
197	0.6432164044
198	0.643122293
199	0.6430185705
200	0.6428773885
201	0.6428181099
202	0.6426959412
203	0.6424984058
204	0.6423712226
205	0.6421762541
206	0.6420469816
207	0.6418917709
208	0.6417645877
209	0.6415871401
210	0.64135907
211	0.6412149031
212	0.6410916599
213	0.6409495824
214	0.6407714484
215	0.6406944101
216	0.6405991944
217	0.6405055904
218	0.6403407089
219	0.6402324196
220	0.6400861037
221	0.6399913954
222	0.6398690177
223	0.6397633551
224	0.6396630054
225	0.6394966315
226	0.6392762025
227	0.6391572873
228	0.6389665871
229	0.6388100631
230	0.6387124296
231	0.6386139902
232	0.6384525413
233	0.6383099863
234	0.6381533429
235	0.6380338307
236	0.6379197807
237	0.6378148642
238	0.6377207827
239	0.6376172691
240	0.6374821164
241	0.6374040335
242	0.6372184971
243	0.637131997
244	0.6369734732
245	0.6367758482
246	0.636679349
247	0.6366145187
248	0.636437489
249	0.6362642201
250	0.6360834893
251	0.635956306
252	0.6358637766
253	0.6357579946
254	0.6356526006
255	0.6355401922
256	0.6353413435
257	0.6352064296
258	0.6349827471
259	0.6348695627
260	0.634758408
261	0.6346289265
262	0.6345361284
263	0.6344236903
264	0.6343314295
265	0.634155922
266	0.6339898466
267	0.6338823931
268	0.6337804913
269	0.6336644415
270	0.6335537046
271	0.6334316553
272	0.6333319325
273	0.633215614
274	0.6331155927
275	0.6330078108
276	0.6328895522
277	0.632809947
278	0.632743893
279	0.6325953086
280	0.6324770799
281	0.6323861025
282	0.6322467114
283	0.632126065
284	0.6320245214
285	0.6319380511
286	0.6318121215
287	0.6317126673
288	0.6315990054
289	0.6314753144
290	0.6314056785
291	0.6312770626
292	0.6311962337
293	0.6311340599
294	0.6310091153
295	0.6309030945
296	0.6308011628
297	0.6306665474
298	0.630554945
299	0.6304019132
