iter	Passed	Remaining
0	68	20493
1	130	19417
2	184	18300
3	252	18721
4	308	18215
5	378	18568
6	430	18014
7	522	19077
8	637	20611
9	714	20722
10	809	21275
11	898	21570
12	961	21224
13	1092	22308
14	1195	22708
15	1256	22309
16	1303	21699
17	1339	20980
18	1386	20512
19	1434	20084
20	1483	19707
21	1524	19261
22	1568	18892
23	1609	18503
24	1657	18235
25	1703	17951
26	1754	17739
27	1797	17461
28	1841	17212
29	1885	16973
30	1933	16780
31	1979	16578
32	2027	16404
33	2061	16125
34	2116	16025
35	2171	15926
36	2214	15740
37	2260	15588
38	2290	15329
39	2321	15090
40	2383	15059
41	2437	14973
42	2498	14931
43	2553	14859
44	2609	14787
45	2663	14707
46	2717	14626
47	2775	14572
48	2832	14507
49	2907	14535
50	2979	14546
51	3037	14486
52	3093	14416
53	3151	14354
54	3214	14319
55	3261	14209
56	3315	14135
57	3376	14086
58	3434	14030
59	3491	13965
60	3549	13905
61	3610	13860
62	3675	13826
63	3731	13761
64	3787	13691
65	3842	13624
66	3910	13600
67	3976	13567
68	4037	13516
69	4095	13457
70	4154	13401
71	4193	13278
72	4233	13164
73	4252	12987
74	4272	12818
75	4290	12645
76	4308	12476
77	4327	12318
78	4361	12201
79	4430	12182
80	4474	12096
81	4495	11951
82	4521	11820
83	4542	11679
84	4564	11544
85	4583	11404
86	4603	11269
87	4622	11134
88	4640	11002
89	4679	10918
90	4731	10866
91	4787	10822
92	4844	10783
93	4906	10751
94	4972	10731
95	5029	10686
96	5083	10639
97	5135	10585
98	5192	10543
99	5242	10484
100	5297	10437
101	5338	10363
102	5406	10340
103	5465	10299
104	5535	10279
105	5602	10253
106	5671	10230
107	5743	10209
108	5846	10244
109	5915	10217
110	5947	10127
111	5989	10053
112	6033	9985
113	6060	9887
114	6105	9821
115	6126	9717
116	6142	9608
117	6162	9504
118	6180	9400
119	6208	9313
120	6228	9213
121	6248	9116
122	6269	9022
123	6291	8929
124	6334	8867
125	6351	8771
126	6381	8693
127	6399	8598
128	6426	8519
129	6453	8439
130	6489	8372
131	6519	8297
132	6539	8211
133	6557	8123
134	6578	8040
135	6623	7986
136	6651	7913
137	6702	7868
138	6724	7788
139	6763	7729
140	6816	7686
141	6857	7629
142	6895	7570
143	6950	7529
144	6966	7447
145	6999	7382
146	7031	7318
147	7056	7247
148	7090	7185
149	7116	7116
150	7134	7039
151	7159	6970
152	7175	6894
153	7204	6829
154	7247	6780
155	7280	6720
156	7298	6648
157	7315	6574
158	7336	6505
159	7365	6444
160	7382	6373
161	7402	6306
162	7424	6239
163	7443	6172
164	7464	6107
165	7483	6041
166	7501	5974
167	7522	5910
168	7543	5847
169	7565	5785
170	7587	5723
171	7620	5671
172	7668	5629
173	7705	5579
174	7725	5518
175	7745	5457
176	7771	5400
177	7800	5346
178	7821	5287
179	7841	5227
180	7860	5167
181	7881	5109
182	7899	5050
183	7920	4993
184	7940	4935
185	7967	4883
186	7999	4833
187	8036	4787
188	8060	4733
189	8084	4680
190	8107	4627
191	8141	4579
192	8159	4523
193	8180	4469
194	8200	4415
195	8222	4363
196	8247	4312
197	8267	4259
198	8287	4206
199	8307	4153
200	8326	4101
201	8361	4056
202	8387	4008
203	8418	3961
204	8439	3910
205	8467	3863
206	8513	3824
207	8533	3774
208	8559	3727
209	8581	3677
210	8602	3628
211	8625	3580
212	8646	3531
213	8666	3482
214	8687	3434
215	8708	3386
216	8726	3337
217	8778	3301
218	8831	3266
219	8851	3218
220	8894	3179
221	8919	3133
222	8947	3089
223	8966	3042
224	8989	2996
225	9011	2950
226	9031	2904
227	9050	2857
228	9074	2813
229	9094	2767
230	9112	2722
231	9131	2676
232	9153	2632
233	9174	2587
234	9192	2542
235	9213	2498
236	9264	2462
237	9311	2425
238	9343	2384
239	9361	2340
240	9380	2296
241	9408	2254
242	9444	2215
243	9481	2176
244	9508	2134
245	9544	2095
246	9571	2053
247	9623	2017
248	9681	1983
249	9735	1947
250	9789	1911
251	9843	1874
252	9905	1840
253	9972	1806
254	10032	1770
255	10087	1733
256	10143	1697
257	10222	1664
258	10288	1628
259	10339	1590
260	10391	1552
261	10423	1511
262	10468	1472
263	10517	1434
264	10555	1394
265	10656	1362
266	10722	1325
267	10765	1285
268	10844	1249
269	10958	1217
270	11033	1180
271	11088	1141
272	11129	1100
273	11184	1061
274	11246	1022
275	11302	982
276	11361	943
277	11415	903
278	11473	863
279	11537	824
280	11592	783
281	11651	743
282	11708	703
283	11773	663
284	11838	623
285	11907	582
286	11958	541
287	12015	500
288	12079	459
289	12145	418
290	12201	377
291	12245	335
292	12288	293
293	12361	252
294	12430	210
295	12481	168
296	12524	126
297	12549	84
298	12579	42
299	12617	0
