iter	Passed	Remaining
0	20	6079
1	31	4649
2	45	4463
3	55	4124
4	68	4026
5	79	3909
6	90	3772
7	102	3757
8	115	3723
9	126	3665
10	139	3671
11	151	3631
12	163	3600
13	174	3567
14	185	3532
15	198	3517
16	209	3487
17	220	3448
18	232	3436
19	243	3415
20	256	3404
21	267	3384
22	279	3360
23	289	3329
24	301	3318
25	312	3294
26	323	3267
27	336	3270
28	347	3248
29	358	3223
30	369	3206
31	380	3189
32	397	3213
33	408	3194
34	419	3173
35	432	3171
36	445	3166
37	456	3145
38	468	3133
39	479	3115
40	489	3095
41	503	3091
42	515	3079
43	527	3069
44	539	3056
45	550	3041
46	567	3052
47	580	3046
48	592	3036
49	605	3028
50	616	3008
51	628	2997
52	640	2986
53	651	2968
54	664	2959
55	675	2943
56	686	2925
57	698	2914
58	710	2902
59	721	2886
60	733	2875
61	745	2862
62	756	2846
63	769	2837
64	781	2824
65	795	2821
66	811	2821
67	822	2805
68	837	2805
69	851	2797
70	863	2784
71	874	2770
72	885	2753
73	898	2743
74	910	2731
75	921	2715
76	933	2704
77	944	2688
78	955	2671
79	969	2665
80	980	2650
81	991	2637
82	1004	2625
83	1015	2610
84	1027	2599
85	1040	2588
86	1051	2574
87	1063	2563
88	1075	2549
89	1086	2535
90	1100	2526
91	1112	2514
92	1123	2501
93	1137	2492
94	1148	2477
95	1159	2463
96	1171	2451
97	1182	2437
98	1194	2424
99	1205	2410
100	1216	2396
101	1227	2382
102	1239	2371
103	1252	2359
104	1263	2346
105	1276	2335
106	1288	2323
107	1300	2312
108	1311	2297
109	1322	2284
110	1336	2274
111	1347	2261
112	1359	2249
113	1374	2242
114	1385	2229
115	1398	2217
116	1409	2204
117	1421	2191
118	1432	2179
119	1443	2164
120	1454	2151
121	1466	2139
122	1478	2127
123	1490	2115
124	1502	2104
125	1513	2090
126	1526	2079
127	1540	2070
128	1551	2057
129	1565	2047
130	1578	2035
131	1590	2023
132	1602	2012
133	1615	2001
134	1629	1992
135	1642	1980
136	1653	1967
137	1666	1956
138	1677	1942
139	1687	1928
140	1700	1917
141	1711	1904
142	1724	1893
143	1735	1880
144	1746	1867
145	1758	1855
146	1771	1843
147	1783	1831
148	1796	1820
149	1806	1806
150	1817	1793
151	1831	1783
152	1843	1771
153	1856	1759
154	1868	1748
155	1879	1734
156	1891	1722
157	1904	1711
158	1916	1699
159	1928	1687
160	1939	1674
161	1949	1661
162	1964	1650
163	1975	1638
164	1986	1625
165	1999	1614
166	2010	1601
167	2021	1588
168	2034	1576
169	2045	1564
170	2057	1551
171	2069	1540
172	2081	1527
173	2094	1516
174	2111	1508
175	2124	1496
176	2135	1483
177	2146	1471
178	2158	1458
179	2169	1446
180	2181	1434
181	2194	1422
182	2205	1410
183	2222	1401
184	2234	1388
185	2246	1376
186	2258	1364
187	2269	1352
188	2281	1339
189	2293	1327
190	2305	1315
191	2316	1303
192	2328	1291
193	2339	1278
194	2356	1268
195	2368	1256
196	2379	1244
197	2392	1232
198	2402	1219
199	2413	1206
200	2426	1195
201	2438	1182
202	2450	1171
203	2462	1158
204	2473	1146
205	2484	1133
206	2497	1121
207	2511	1110
208	2523	1098
209	2534	1086
210	2547	1074
211	2561	1063
212	2573	1051
213	2586	1039
214	2597	1026
215	2610	1015
216	2621	1002
217	2632	990
218	2644	978
219	2657	966
220	2670	954
221	2682	942
222	2693	930
223	2704	917
224	2717	905
225	2728	893
226	2741	881
227	2753	869
228	2763	856
229	2776	844
230	2787	832
231	2800	820
232	2812	808
233	2823	796
234	2834	784
235	2847	772
236	2859	760
237	2871	748
238	2885	736
239	2896	724
240	2909	712
241	2920	700
242	2932	687
243	2945	675
244	2956	663
245	2967	651
246	2980	639
247	2991	627
248	3003	615
249	3015	603
250	3026	590
251	3037	578
252	3051	566
253	3063	554
254	3077	543
255	3089	530
256	3100	518
257	3112	506
258	3123	494
259	3137	482
260	3149	470
261	3160	458
262	3173	446
263	3185	434
264	3197	422
265	3210	410
266	3221	398
267	3233	386
268	3249	374
269	3263	362
270	3277	350
271	3290	338
272	3310	327
273	3336	316
274	3348	304
275	3359	292
276	3370	279
277	3381	267
278	3393	255
279	3404	243
280	3415	230
281	3427	218
282	3437	206
283	3449	194
284	3462	182
285	3474	170
286	3488	157
287	3498	145
288	3512	133
289	3524	121
290	3536	109
291	3549	97
292	3560	85
293	3572	72
294	3587	60
295	3600	48
296	3613	36
297	3624	24
298	3635	12
299	3649	0
